date,use,demand (TWh)
2025-07-10,"NTS Energy Offtaken, Powerstations Total",0.464206116
2025-07-09,"NTS Energy Offtaken, Industrial Offtake Total",0.027326246
2025-07-09,"NTS Energy Offtaken, LDZ Offtake Total",0.497806505
2025-07-09,"NTS Energy Offtaken, Powerstations Total",0.446237273
2025-07-08,"NTS Energy Offtaken, Industrial Offtake Total",0.027711568
2025-07-08,"NTS Energy Offtaken, LDZ Offtake Total",0.51563354
2025-07-08,"NTS Energy Offtaken, Powerstations Total",0.281968878
2025-07-07,"NTS Energy Offtaken, Industrial Offtake Total",0.027238744
2025-07-07,"NTS Energy Offtaken, LDZ Offtake Total",0.522620098
2025-07-07,"NTS Energy Offtaken, Powerstations Total",0.178732737
2025-07-06,"NTS Energy Offtaken, Industrial Offtake Total",0.026883255
2025-07-06,"NTS Energy Offtaken, LDZ Offtake Total",0.491800762
2025-07-06,"NTS Energy Offtaken, Powerstations Total",0.286019404
2025-07-05,"NTS Energy Offtaken, Industrial Offtake Total",0.023919258
2025-07-05,"NTS Energy Offtaken, LDZ Offtake Total",0.447944626
2025-07-05,"NTS Energy Offtaken, Powerstations Total",0.156644685
2025-07-04,"NTS Energy Offtaken, Industrial Offtake Total",0.025439361
2025-07-04,"NTS Energy Offtaken, LDZ Offtake Total",0.515200115
2025-07-04,"NTS Energy Offtaken, Powerstations Total",0.172199649
2025-07-03,"NTS Energy Offtaken, Industrial Offtake Total",0.033272829
2025-07-03,"NTS Energy Offtaken, LDZ Offtake Total",0.542833165
2025-07-03,"NTS Energy Offtaken, Powerstations Total",0.267763678
2025-07-02,"NTS Energy Offtaken, Industrial Offtake Total",0.03327838
2025-07-02,"NTS Energy Offtaken, LDZ Offtake Total",0.530123771
2025-07-02,"NTS Energy Offtaken, Powerstations Total",0.389408652
2025-07-01,"NTS Energy Offtaken, Industrial Offtake Total",0.037358795
2025-07-01,"NTS Energy Offtaken, LDZ Offtake Total",0.53287932
2025-07-01,"NTS Energy Offtaken, Powerstations Total",0.558947761
2025-06-30,"NTS Energy Offtaken, Industrial Offtake Total",0.035188379
2025-06-30,"NTS Energy Offtaken, LDZ Offtake Total",0.506706598
2025-06-30,"NTS Energy Offtaken, Powerstations Total",0.420854532
2025-06-29,"NTS Energy Offtaken, Industrial Offtake Total",0.025810807
2025-06-29,"NTS Energy Offtaken, LDZ Offtake Total",0.457759674
2025-06-29,"NTS Energy Offtaken, Powerstations Total",0.293538184
2025-06-28,"NTS Energy Offtaken, Industrial Offtake Total",0.0256124
2025-06-28,"NTS Energy Offtaken, LDZ Offtake Total",0.423364767
2025-06-28,"NTS Energy Offtaken, Powerstations Total",0.197482931
2025-06-27,"NTS Energy Offtaken, Industrial Offtake Total",0.02571207
2025-06-27,"NTS Energy Offtaken, LDZ Offtake Total",0.496023697
